Spring 2020,,
College Name,Page Number,
College of Arts and Sciences,1,
College of Engineering and Applied Sciences,103,
"College of Media, Communication and Information",130,
College of Music,142,
Cross-College Programs,159,
Leeds School of Business,162,
Program in Environmental Design,173,
School of Education,175,
School of Law,180,
Note ,,
"This listing was prepared on the basis of the best information available as of November 5, 2019. All information is subject to",,
change.,,
Office of the Registrar,Spring 2020,University of Colorado Boulder
~University of,,Colorado,,Boulder,,Schedule of Classes for Spring 2020,,,,,,,,
College of Arts and Sciences,,,,,,,,,,,,,,
Woodbury 109,,,,,303-492-7885,,,,,,,,,
http://artsandsciences.colorado.edu/,,,,,,,,,,,,,,
Anthropology,,,,,,,,,,,,,,
Hale 350,,,,,303-492-2547,,,,,,,,,
http://www.colorado.edu/Anthropology/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
ANTH,7000,3,B,36426,3,Sem-Cur Rsch Tpc Clt Ant,SEM,10:00 AM - 12:30 PM,TH,HALE 450,,"Shannon,Jennifer",15,Main Campus
ANTH,7030,1,B,24154,3,Sem-Archaeology,SEM,03:15 PM - 05:45 PM,T,HALE 455,,"Ortman,Scott Graham",15,Main Campus
Page 2 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,,
Applied Mathematics,,,,,,,,,,,,,,
ECOT 225,,,,,303-492-4668,,,,,,,,,
http://amath.colorado.edu/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
APPM,1235,120,B,25465,4,Pre-Calculus for Engineers,LEC,09:00 AM - 09:50 AM,MWF,KTCH 1B71,,,0,Main Campus
APPM,1235,150,B,23059,4,Pre-Calculus for Engineers,LEC,02:00 PM - 02:50 PM,MWF,KTCH 1B71,,,0,Main Campus
APPM,1235,220,B,25466,4,Pre-Calculus for Engineers,REC,09:00 AM - 09:50 AM,TH,,,,40,Main Campus
APPM,1345,150,B,22414,4,Calculus 1B with Algebra,LEC,12:00 PM - 12:50 PM,MWF,FLMG 154,,,60,Main Campus
APPM,1345,250,B,24774,0,Calculus 1B with Algebra,REC,12:00 PM - 12:50 PM,TH,KCEN N101,,,30,Main Campus
APPM,1350,130,B,22712,4,Calculus 1 for Engineers,LEC,10:00 AM - 10:50 AM,MWF,HLMS 201,,,50,Main Campus
APPM,1350,150,B,23760,4,Calculus 1 for Engineers,LEC,12:00 PM - 12:50 PM,MWF,ECCR 135,,,50,Main Campus
APPM,1350,170,B,22164,4,Calculus 1 for Engineers,LEC,02:00 PM - 02:50 PM,MWF,ECCR 135,,,50,Main Campus
APPM,1360,120,B,23639,4,Calculus 2 for Engineers,LEC,09:00 AM - 09:50 AM,MWF,ECCR 245,,,100,Main Campus
APPM,1360,130,B,22673,4,Calculus 2 for Engineers,LEC,10:00 AM - 10:50 AM,MWF,ECCR 245,,,106,Main Campus
APPM,1390,831,B,25379,1,A Game for Calculus,LEC,11:00 AM - 11:50 AM,F,ECES 1B12,,,30,Main Campus
APPM,1390,842,B,25380,1,A Game for Calculus,LEC,10:00 AM - 10:50 AM,F,ECES 1B12,,,30,Main Campus
APPM,1390,843,B,25382,1,A Game for Calculus,LEC,03:00 PM - 03:50 PM,F,ECES 1B12,,,30,Main Campus
APPM,1390,844,B,25381,1,A Game for Calculus,LEC,04:00 PM - 04:50 PM,F,ECES 1B12,,,30,Main Campus
APPM,1390,852,B,25378,1,A Game for Calculus,LEC,03:00 PM - 03:50 PM,M,ECES 1B12,,,30,Main Campus
APPM,1390,853,B,25532,1,A Game for Calculus,LEC,04:00 PM - 04:50 PM,M,ECES 1B12,,,30,Main Campus
APPM,2350,120,B,22723,4,Calculus 3 for Engineers,LEC,09:00 AM - 09:50 AM,MWF,MUEN E113,,,42,Main Campus
APPM,2350,140,B,17484,4,Calculus 3 for Engineers,LEC,11:00 AM - 11:50 AM,MWF,ECCR 1B40,,,110,Main Campus
APPM,2350,290,B,24745,0,Calculus 3 for Engineers,REC,04:00 PM - 04:50 PM,TH,ECCR 116,,,23,Main Campus
APPM,2360,110,B,17489,4,Intro Diff Eq W/Lin Alg,LEC,08:00 AM - 08:50 AM,MWF,ECCR 105,,,35,Main Campus
APPM,2360,120,B,22676,4,Intro Diff Eq W/Lin Alg,LEC,09:00 AM - 09:50 AM,MWF,ECCR 200,,,88,Main Campus
APPM,2360,130,B,17490,4,Intro Diff Eq W/Lin Alg,LEC,10:00 AM - 10:50 AM,MWF,ECCR 265,,,149,Main Campus
APPM,2360,150,B,17497,4,Intro Diff Eq W/Lin Alg,LEC,12:00 PM - 12:50 PM,MWF,ECCR 200,,,88,Main Campus
APPM,2360,160,B,23306,4,Intro Diff Eq W/Lin Alg,LEC,01:00 PM - 01:50 PM,MWF,ECCR 200,,,88,Main Campus
APPM,2360,170,B,17501,4,Intro Diff Eq W/Lin Alg,LEC,02:00 PM - 02:50 PM,MWF,ECCR 200,,,88,Main Campus
APPM,2360,171,B,24054,4,Intro Diff Eq W/Lin Alg,LEC,02:30 PM - 03:20 PM,MWF,AERO 111,,,80,Main Campus
APPM,2360,253,B,23892,0,Intro Diff Eq W/Lin Alg,REC,12:00 PM - 12:50 PM,TH,CLUB 4,,,25,Main Campus
APPM,2360,282,B,24746,0,Intro Diff Eq W/Lin Alg,REC,03:00 PM - 03:50 PM,TH,ECCR 108,,,25,Main Campus
APPM,2360,549R,B,22556,4,Intro Diff Eq W/Lin Alg,LEC,01:00 PM - 01:50 PM,MWF,ANDS N103,,,34,Main Campus
APPM,2450,2,B,17506,1,Calculus 3 Computer Lab,LEC,10:00 AM - 10:50 AM,T,ECCR143,,,25,Main Campus
APPM,2450,3,B,17507,1,Calculus 3 Computer Lab,LEC,01:00 PM - 01:50 PM,T,ECCR143,,,25,Main Campus
APPM,2450,4,B,17508,1,Calculus 3 Computer Lab,LEC,02:00 PM - 02:50 PM,T,ECCR143,,,25,Main Campus
APPM,2460,1,B,17509,1,Diff Eq Computer Lab,LEC,11:00 AM - 11:50 AM,T,ECCR143,,,25,Main Campus
APPM,2460,2,B,17510,1,Diff Eq Computer Lab,LEC,12:00 PM - 12:50 PM,T,ECCR143,,,25,Main Campus
APPM,2460,3,B,17511,1,Diff Eq Computer Lab,LEC,03:00 PM - 03:50 PM,T,ECCR143,,,25,Main Campus
APPM,2460,4,B,17512,1,Diff Eq Computer Lab,LEC,04:00 PM - 04:50 PM,T,ECCR143,,,25,Main Campus
APPM,3050,10,B,18311,3,Sci Computing in Matlab,LEC,09:00 AM - 09:50 AM,MWF,FLMG 157,,,35,Main Campus
APPM,3170,1,B,24155,3,Discrete Applied Mathematics,LEC,01:00 PM - 01:50 PM,MWF,ECCR 150,,,50,Main Campus
Page 3 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,,
APPM,3570,1,B,18194,3,Applied Probability,LEC,10:00 AM - 10:50 AM,MWF,FLMG 157,,"Restrepo,Juan G",35,Main Campus
APPM,3570,2,B,22165,3,Applied Probability,LEC,02:00 PM - 02:50 PM,MWF,FLMG 154,,"Restrepo,Juan G",35,Main Campus
APPM,4120,1,B,22260,3,Operations Research,LEC,11:00 AM - 11:50 AM,MWF,ECCR 135,,"Vernerey,Divya E.",20,Main Campus
APPM,4360,1,B,18416,3,Complex Var/Applications,LEC,12:00 PM - 12:50 PM,MWF,FLMG 156,,"Ablowitz,Mark J",50,Main Campus
APPM,4360,2,B,18418,3,Complex Var/Applications,LEC,01:00 PM - 01:50 PM,MWF,FLMG 157,,"Ablowitz,Mark J",50,Main Campus
APPM,4370,1,B,30635,3,Computational Neuroscience,LEC,11:00 AM - 11:50 AM,MWF,CASE E340,,"Kilpatrick,Zachary",25,Main Campus
APPM,4390,1,B,30637,3,Modeling: Mathematical Biology,LEC,03:00 PM - 04:15 PM,MW,ECCR 116,,"Bortz,David Matthew",10,Main Campus
APPM,4450,1,B,18424,3,Ugrad Applied Analysis 2,LEC,12:00 PM - 12:50 PM,MWF,ECCR 257,,,15,Main Campus
APPM,4560,1,B,24947,3,Markov Processes,LEC,01:00 PM - 01:50 PM,MWF,FLMG 156,,"Corcoran,Jem",25,Main Campus
APPM,4650,1,B,21394,3,Intermed Numerical Analysis 1,LEC,09:00 AM - 09:50 AM,MWF,ECCR 105,,,16,Main Campus
APPM,4650,2,B,25531,3,Intermed Numerical Analysis 1,LEC,09:00 AM - 09:50 AM,MWF,ECCR 135,,,0,Main Campus
APPM,4660,2,B,25464,3,Intermed Numer Analys 2,LEC,09:00 AM - 09:50 AM,MWF,ECCR 139,,,25,Main Campus
APPM,4720,2,B,23452,3,Open Tpcs: Applied Mathematics,LEC,08:00 AM - 09:15 AM,TTH,,,"Stutzer,Michael J.",10,Main Campus
APPM,4720,4,B,24508,3,Open Tpcs: Applied Mathematics,LEC,04:00 PM - 05:15 PM,MW,FLMG 156,,"Appelo,Daniel E",10,Main Campus
Graduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
APPM,5120,1,B,22261,3,Operations Research,LEC,11:00 AM - 11:50 AM,MWF,ECCR 135,,"Vernerey,Divya E.",5,Main Campus
APPM,5360,1,B,18417,3,Complex Var/Applications,LEC,12:00 PM - 12:50 PM,MWF,FLMG 156,,"Ablowitz,Mark J",5,Main Campus
APPM,5360,2,B,18419,3,Complex Var/Applications,LEC,01:00 PM - 01:50 PM,MWF,FLMG 157,,"Ablowitz,Mark J",5,Main Campus
APPM,5370,1,B,30636,3,Computational Neuroscience,LEC,11:00 AM - 11:50 AM,MWF,CASE E340,,"Kilpatrick,Zachary",25,Main Campus
APPM,5390,1,B,30638,3,Modeling: Mathematical Biology,LEC,03:00 PM - 04:15 PM,MW,ECCR 116,,"Bortz,David Matthew",10,Main Campus
APPM,5450,1,B,18429,3,Applied Analysis 2,LEC,12:00 PM - 12:50 PM,MWF,ECCR 139,,,20,Main Campus
APPM,5480,1,B,24752,3,Approximation Methods,LEC,01:00 PM - 01:50 PM,MWF,ECCR 118,,"Hoefer,Mark Alan",25,Main Campus
APPM,5560,1,B,24948,3,Markov Processes,LEC,01:00 PM - 01:50 PM,MWF,FLMG 156,,"Corcoran,Jem",25,Main Campus
APPM,5570,001B,B,31959,3,Statistical Methods,LEC,-,,Distance Education,,,10,Main Campus
,,,,,,,,,,Online Clas,,,,
APPM,5590,002B,B,31964,3,Statistical Modeling,LEC,-,,,,,10,Main Campus
APPM,5610,1,B,18430,3,Numerical Analysis 2,LEC,03:00 PM - 04:15 PM,MW,STAD 140,,"Beylkin,Gregory",30,Main Campus
APPM,5620,1,B,30892,3,Numerical Linear Algebra,LEC,10:00 AM - 10:50 AM,MWF,KCEN S163,,"Grooms,Ian Gregory",15,Main Campus
