Spring 2020,,
College Name,Page Number,
College of Arts and Sciences,1,
College of Engineering and Applied Sciences,103,
"College of Media, Communication and Information",130,
College of Music,142,
Cross-College Programs,159,
Leeds School of Business,162,
Program in Environmental Design,173,
School of Education,175,
School of Law,180,
Note ,,
"This listing was prepared on the basis of the best information available as of November 5, 2019. All information is subject to",,
change.,,
Office of the Registrar,Spring 2020,University of Colorado Boulder
~University of,,Colorado,,Boulder,,Schedule of Classes for Spring 2020,,,,,,,,
College of Arts and Sciences,,,,,,,,,,,,,,
Woodbury 109,,,,,303-492-7885,,,,,,,,,
http://artsandsciences.colorado.edu/,,,,,,,,,,,,,,
Anthropology,,,,,,,,,,,,,,
Hale 350,,,,,303-492-2547,,,,,,,,,
http://www.colorado.edu/Anthropology/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
PHIL,1000,7,B,22487,3,Introduction to Philosophy,LEC,03:00 PM - 04:15 PM,MW,MUEN E064,,"Leland,Patrick R",39,Main Campus
PHIL,1000,8,B,22611,3,Introduction to Philosophy,LEC,04:30 PM - 05:45 PM,MW,HLMS 237,,"Leland,Patrick R",39,Main Campus
PHIL,1000,100,B,17739,3,Introduction to Philosophy,LEC,01:00 PM - 01:50 PM,MW,HALE 230,,"Demarest,Heather Alison",75,Main Campus
PHIL,1010,1,B,22021,3,Intro to Western Phil: Ancient,LEC,03:00 PM - 04:15 PM,MW,HLMS 229,,"Boespflug,Mark",24,Main Campus
PHIL,1010,2,B,23662,3,Intro to Western Phil: Ancient,LEC,04:30 PM - 05:45 PM,MW,HLMS 255,,"Boespflug,Mark",21,Main Campus
PHIL,1020,1,B,22989,3,Intro to West Phil: Modern,LEC,02:00 PM - 02:50 PM,MWF,GUGG 206,,"Leland,Patrick R",37,Main Campus
PHIL,1020,2,B,23664,3,Intro to West Phil: Modern,LEC,01:00 PM - 01:50 PM,MWF,HUMN 190,,"Leland,Patrick R",34,Main Campus
PHIL,1020,3,B,23665,3,Intro to West Phil: Modern,LEC,10:00 AM - 10:50 AM,MWF,VAC 1B90,,"Smith,Colin C",39,Main Campus
PHIL,1100,1,B,19391,3,Ethics,LEC,02:00 PM - 02:50 PM,MWF,CLRE 209,,"Sapkota,Gagan",35,Main Campus
PHIL,1100,2,B,19392,3,Ethics,LEC,10:00 AM - 10:50 AM,MWF,MUEN E064,,"Fox,Eric Walter",39,Main Campus
PHIL,1100,2,B,19392,3,Ethics,LEC,10:00 AM - 10:50 AM,MWF,MUEN E064,,"Sturgis,Daniel Paul",39,Main Campus
PHIL,1100,3,B,23666,3,Ethics,LEC,01:00 PM - 01:50 PM,MWF,CLRE 104,,"Sapkota,Gagan",35,Main Campus
PHIL,1100,4,B,19393,3,Ethics,LEC,03:00 PM - 04:15 PM,MW,DUAN G2B60,,"Young,Andrew",37,Main Campus
PHIL,1100,5,B,24102,3,Ethics,LEC,04:30 PM - 05:45 PM,MW,HLMS 263,,"Young,Andrew",33,Main Campus
PHIL,1100,6,B,24103,3,Ethics,LEC,11:00 AM - 11:50 AM,MWF,DUAN G2B60,,"Sturgis,Daniel Paul",39,Main Campus
PHIL,1100,6,B,24103,3,Ethics,LEC,11:00 AM - 11:50 AM,MWF,DUAN G2B60,,"Fox,Eric Walter",39,Main Campus
PHIL,1100,100,B,24355,3,Ethics,LEC,12:00 PM - 12:50 PM,MW,MCOL W100,,"Mills,Claudia",150,Main Campus
PHIL,1160,1,B,23668,3,Introduction to Medical Ethics,LEC,03:00 PM - 04:15 PM,MW,ECON 13,,"Director,Samuel Joseph",35,Main Campus
PHIL,1160,2,B,23669,3,Introduction to Medical Ethics,LEC,04:30 PM - 05:45 PM,MW,HUMN 125,,"Director,Samuel Joseph",35,Main Campus
PHIL,1200,1,B,24540,3,Contemporary Social Problems,LEC,03:30 PM - 04:45 PM,TTH,CLRE 302,,"Taylor,Maggie Suzanne",35,Main Campus
PHIL,1200,2,B,19394,3,Contemporary Social Problems,LEC,05:00 PM - 06:15 PM,TTH,CLRE 208,,"Taylor,Maggie Suzanne",35,Main Campus
PHIL,1200,3,B,19395,3,Contemporary Social Problems,LEC,01:00 PM - 01:50 PM,MWF,HLMS 251,,"Nieblas,Erica Annabella",33,Main Campus
Page 72 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
PHIL,1200,4,B,19396,3, Contemporary Social Problems,LEC, 10:00 AM - 10:50 AM,MWF, DUAN G2B60,,39, Main Campus
PHIL,1200,5,B,24541,3, Contemporary Social Problems,LEC, 09:00 AM - 09:50 AM,MWF, HALE 260," Chapman,Andrew David",39, Main Campus
PHIL,1200,6,B,19397,3, Contemporary Social Problems,LEC, 11:00 AM - 11:50 AM,MWF,MUEN E431," Chamorro,Martin Alberto",39, Main Campus
PHIL,1200,7,B,23274,3, Contemporary Social Problems,LEC, 02:00 PM - 02:50 PM,MWF, CLRE 208,"Nieblas,Erica Annabella",36, Main Campus
PHIL,1200,8,B,23670,3, Contemporary Social Problems,LEC, 03:00 PM - 04:15 PM,MW,MUEN E417,"Kopeikin,Zak",35, Main Campus
PHIL,1200,9,B,23671,3, Contemporary Social Problems,LEC, 04:30 PM - 05:45 PM,MW,STAD 140,"Kopeikin,Zak",35, Main Campus
PHIL,1200,100,B,17740,3, Contemporary Social Problems,LEC, 11:00 AM - 11:50 AM,TTH,HUMN 150,"Kaufman,Daniel Patrick",150, Main Campus
PHIL,1200,880,B,25226,3, Contemporary Social Problems,LEC, 03:30 PM - 04:45 PM,TTH,LIBR N424A," Heathwood,Christopher Charles",17, Main Campus
PHIL,1250,1,B,32627,3,"Poverty, Power, & Patriotism",LEC, 01:00 PM - 01:50 PM,MWF, VAC 1B90," Greetis,Edward Andrew",39, Main Campus
PHIL,1250,2,B,32628,3,"Poverty, Power, & Patriotism",LEC, 02:00 PM - 02:50 PM,MWF, GUGG 2,"Kang,Hye-Ryoung",36, Main Campus
PHIL,1250,3,B,32629,3,"Poverty, Power, & Patriotism",LEC, 10:00 AM - 10:50 AM,MWF, CLUB 4,"Kang,Hye-Ryoung",39, Main Campus
PHIL,1400,1,B,32630,3,Philosophy and Sciences,LEC, 04:30 PM - 05:45 PM,MW, HLMS 137,,39, Main Campus
PHIL,1400,100,B,23942,3,Philosophy and Sciences,LEC, 12:00 PM - 12:50 PM,MW, HALE 230,"Cleland,Carol",75, Main Campus
PHIL,1400,880,B,33743,3,Philosophy and Sciences,LEC, 03:00 PM - 04:15 PM,MW,LIBR N424A,"Rupert,Robert D",17, Main Campus
PHIL,1440,1,B,24104,3,Critical Thinking,LEC, 02:00 PM - 02:50 PM,MWF,ECON 13,,39, Main Campus
PHIL,1440,2,B,24105,3,Critical Thinking,LEC, 12:00 PM - 12:50 PM,MWF, HALE 260,,39, Main Campus
PHIL,1440,3,B,32631,3,Critical Thinking,LEC, 01:00 PM - 01:50 PM,MWF, VAC 1B88,,39, Main Campus
PHIL,1440,100,B,25413,3,Critical Thinking,LEC, 03:00 PM - 03:50 PM,MW,MUEN E0046,"Bredeson,Garrett Zantow",75, Main Campus
PHIL,1500,1,B,22489,3,"Reading, Writing and Reasoning",SEM, 08:00 AM - 09:15 AM,TTH, HLMS 177,,20, Main Campus
PHIL,1500,2,B,22490,3,"Reading, Writing and Reasoning",SEM, 09:30 AM - 10:45 AM,TTH, HLMS 220,,16, Main Campus
PHIL,1500,3,B,24699,3,"Reading, Writing and Reasoning",SEM, 11:00 AM - 12:15 PM,TTH, HLMS 220," Melnitzer,Shane Bodhi",16, Main Campus
PHIL,1500,4,B,25522,3,"Reading, Writing and Reasoning",SEM, 12:30 PM - 01:45 PM,TTH,HUMN 335," Melnitzer,Shane Bodhi",16, Main Campus
PHIL,1600,1,B,17741,3,Philosophy and Religion,LEC, 03:00 PM - 04:15 PM,MW, DUAN G131," Eyestone,Martin Robert",39, Main Campus
PHIL,2140,1,B,24542,3,Environmental Justice,LEC, 03:30 PM - 04:45 PM,TTH, GUGG 206,"Colvin,Maria",37, Main Campus
PHIL,2150,1,B,32632,3, Ethics and Sex,LEC, 02:00 PM - 02:50 PM,MWF, CLRE 104,,35, Main Campus
PHIL,2160,1,B,25206,3,Ethics and Information Tech,LEC, 03:00 PM - 04:15 PM,MW,MUEN E431," Wolf-Root,Alexander Evan",35, Main Campus
PHIL,2160,2,B,25207,3,Ethics and Information Tech,LEC, 04:30 PM - 05:45 PM,MW, DUAN G2B41," Wolf-Root,Alexander Evan",35, Main Campus
PHIL,2200,1,B,24125,3,Major Social Theories,LEC, 03:00 PM - 04:15 PM,MW,MCOL E155,"Perl,Caleb",39, Main Campus
PHIL,2220,1,B,19400,3,Philosophy & Law,LEC, 03:00 PM - 03:50 PM,MWF,MUEN E432,"Geyer,Jay",39, Main Campus
PHIL,2220,2,B,24109,3,Philosophy & Law,LEC, 02:00 PM - 02:50 PM,MWF,MUEN E431,"Geyer,Jay",39, Main Campus
PHIL,2240,1,B,25208,3,Philosophy and Sports,LEC, 10:00 AM - 10:50 AM,MWF,ECON 13,"Bredeson,Garrett Zantow",39, Main Campus
PHIL,2240,2,B,25209,3,Philosophy and Sports,LEC, 12:00 PM - 12:50 PM,MWF,HUMN 190,"Dengler,Christopher Ray",34, Main Campus
PHIL,2240,3,B,32633,3,Philosophy and Sports,LEC, 02:00 PM - 02:50 PM,MWF, HLMS 255,"Dengler,Christopher Ray",33, Main Campus
PHIL,2270,1,B,23673,3,Philosophy and Race,LEC, 02:00 PM - 02:50 PM,MWF, HLMS 251,"Robinson-Burris,Ajene Nicar",33, Main Campus
PHIL,2270,2,B,23674,3,Philosophy and Race,LEC, 12:00 PM - 12:50 PM,MWF, DUAN G2B41,"Robinson-Burris,Ajene Nicar",36, Main Campus
PHIL,2270,100,B,37554,3,Philosophy and Race,LEC, 11:00 AM - 11:50 AM,MW,HUMN 1B80,"Hill,Scott",74, Main Campus
PHIL,2290,1,B,24127,3,Philosophy and Gender,LEC, 11:00 AM - 11:50 AM,MWF,HUMN 125,"Shields,Matthew",34, Main Campus
PHIL,2290,2,B,25210,3,Philosophy and Gender,LEC, 12:00 PM - 12:50 PM,MWF,EKLC E1B50,"Shields,Matthew",34, Main Campus
PHIL,2290,100,B,37558,3,Philosophy and Gender,LEC, 01:00 PM - 01:50 PM,MW,HUMN 135,"Shields,Matthew",64, Main Campus
PHIL,2440,1,B,19299,3, Symbolic Logic,LEC, 03:30 PM - 04:45 PM,TTH, GUGG 2," Oddie,Graham James",36, Main Campus
PHIL,2440,2,B,23675,3,Symbolic Logic,LEC, 03:00 PM - 04:15 PM,MW, HALE 240," Smith,Colin C",39, Main Campus
PHIL,2750,1,B,32634,3, Philosophy and Science Fiction,LEC, 03:30 PM - 04:45 PM,TTH, CLRE 208," Fileva,Iskra Nikova",36, Main Campus
PHIL,3000,1,B,19300,3,History of Ancient Philosophy,LEC, 09:30 AM - 10:45 AM,TTH, CLUB 13,"Lee,Mi-Kyoung",39, Main Campus
PHIL,3000,2,B,24108,3,History of Ancient Philosophy,LEC, 03:30 PM - 04:45 PM,TTH,ECON 2," Bailey,Dominic T. J.",38, Main Campus
PHIL,3010,1,B,19405,3, History of Modern Philosophy,LEC, 02:00 PM - 03:15 PM,TTH, HLMS 237,"Kaufman,Daniel Patrick",39, Main Campus
Page 73 of 180,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
PHIL,3010,2,B,23279,3,History of Modern Philosophy,LEC,10:00 AM - 10:50 AM,MWF,MCOL E155,"Potter,Jason Timothy",39,Main Campus
PHIL,3100,1,B,19316,3,Ethical Theory,LEC,12:00 PM - 12:50 PM,MWF,GUGG 206,"Perl,Caleb",37,Main Campus
PHIL,3100,2,B,25211,3,Ethical Theory,LEC,01:00 PM - 01:50 PM,MWF,GUGG 2,"Perl,Caleb",36,Main Campus
PHIL,3110,1,B,32716,3,Feminist Practical Ethic,LEC,12:00 PM - 12:50 PM,MWF,MUEN E431,"Frigault,Joseph Leo",34,Main Campus
PHIL,3140,1,B,18354,3,Environmental Ethics,LEC,11:00 AM - 12:15 PM,TTH,HALE 230,"Youkey,David Allen",38,Main Campus
PHIL,3140,2,B,19317,3,Environmental Ethics,LEC,12:30 PM - 01:45 PM,TTH,CLRE 207,"Youkey,David Allen",38,Main Campus
PHIL,3140,3,B,32635,3,Environmental Ethics,LEC,09:00 AM - 09:50 AM,MWF,VAC 1B90,"Chamorro,Martin Alberto",20,Main Campus
PHIL,3140,4,B,24677,3,Environmental Ethics,LEC,01:00 PM - 02:15 PM,TTH,SEEC N128,"Hale,Benjamin S",20,Main Campus
PHIL,3160,1,B,19406,3,Bioethics,LEC,03:00 PM - 04:15 PM,MW,HALE 260,"Greetis,Edward Andrew",39,Main Campus
PHIL,3160,2,B,24543,3,Bioethics,LEC,04:30 PM - 05:45 PM,MW,CLUB 13,"Greetis,Edward Andrew",39,Main Campus
PHIL,3190,1,B,24544,3,War and Morality,LEC,11:00 AM - 11:50 AM,MWF,CLUB 13,"Garner,Renaud-Philippe",39,Main Campus
PHIL,3190,2,B,25499,3,War and Morality,LEC,01:00 PM - 01:50 PM,MWF,CLUB 13,"Geyer,Jay",39,Main Campus
PHIL,3200,1,B,24545,3,Soc/Political Philosophy,LEC,03:30 PM - 04:45 PM,TTH,CLRE 209,"Huemer,Michael",35,Main Campus
PHIL,3260,1,B,19338,3,Philosophy/International Order,LEC,01:00 PM - 01:50 PM,MWF,DUAN G2B21,"Sturgis,Daniel Paul",36,Main Campus
PHIL,3310,1,B,36330,3,Cognitive Science,LEC,08:00 AM - 09:15 AM,TTH,MUEN E0046,"Carston,Ronald McKell",20,Main Campus
PHIL,3410,1,B,32637,3,Hist Sci: Ancients to Newton,LEC,03:30 PM - 04:45 PM,TTH,CLUB 13,"Youkey,David Allen",39,Main Campus
PHIL,3430,1,B,24110,3,Hist Sci: Newton to Einstein,LEC,02:00 PM - 02:50 PM,MWF,DUAN G2B21,"Zerella,Michael Joseph",36,Main Campus
PHIL,3480,1,B,19871,3,Crit Thinkng/Writng Philosophy,LEC,12:00 PM - 12:50 PM,MWF,HLMS 104,"Potter,Jason Timothy",18,Main Campus
PHIL,3480,2,B,24172,3,Crit Thinkng/Writng Philosophy,LEC,01:00 PM - 01:50 PM,MWF,HLMS 196,"Potter,Jason Timothy",18,Main Campus
PHIL,3600,1,B,32638,3,Philosophy of Religion,LEC,03:00 PM - 04:15 PM,MW,DUAN G2B41,"Chapman,Andrew David",36,Main Campus
PHIL,4010,1,B,19833,3,Single Philosopher,SEM,12:30 PM - 01:45 PM,TTH,MCOL E186,"Lee,Mi-Kyoung",31,Main Campus
PHIL,4020,1,B,25222,3,Topics/History of Philosophy,LEC,02:00 PM - 03:15 PM,TTH,HLMS 196,"Bailey,Dominic T. J.",8,Main Campus
PHIL,4020,2,B,32639,3,Topics/History of Philosophy,LEC,09:30 AM - 10:45 AM,TTH,HLMS 177,"Youkey,David Allen",26,Main Campus
PHIL,4150,1,B,32640,3,Topics in Applied Ethics,LEC,03:30 PM - 04:45 PM,TTH,HLMS 196,"Boonin,David Isaac",8,Main Campus
PHIL,4260,1,B,24114,3,Philosophy of Law,LEC,03:00 PM - 04:15 PM,MW,HUMN 1B70,"Wingo,Ajume H",26,Main Campus
PHIL,4340,1,B,32686,3,Epistemology,LEC,03:00 PM - 04:15 PM,MW,HLMS 177,"Steup,Matthias",26,Main Campus
PHIL,4400,1,B,32687,3,Philosophy of Science,LEC,02:00 PM - 03:15 PM,TTH,HLMS 177,"Huemer,Michael",26,Main Campus
PHIL,4450,1,B,32395,3,Hist & Philosophy of Physics,LEC,11:00 AM - 12:15 PM,TTH,DUAN G2B47,"Ritzwoller,Michael H",10,Main Campus
PHIL,4490,1,B,32688,3,Philosophy of Language,LEC,03:30 PM - 04:45 PM,TTH,HLMS 177,"Saucedo Ceballos,Raul",26,Main Campus
PHIL,4800,1,B,32689,3,Open Topics in Philosophy,LEC,12:30 PM - 01:45 PM,TTH,HLMS 196,"Oddie,Graham James",8,Main Campus
PHIL,1000,300E,BEF,38231,3,Introduction to Philosophy,LEC,05:30 PM - 08:00 PM,TH,,"Mahlberg,Benjamin Francis",35,Continuing Education
PHIL,1100,400E,BET,38228,3,Ethics,LEC,05:30 PM - 08:00 PM,W,,"Mahlberg,Benjamin Francis",35,Continuing Education
PHIL,1000,581,BL3,38699,3,Introduction to Philosophy,LEC,-,Continuing Ed Online,,"Sechman,Michael Scott",35,Continuing Education
,,,,,,,,,,Class,,,
PHIL,1100,581,BL3,38700,3,Ethics,LEC,-,Continuing Ed Online,,"Sechman,Michael Scott",35,Continuing Education
,,,,,,,,,,Class,,,
PHIL,1200,581,BL3,38701,3,Contemporary Social Problems,LEC,-,Continuing Ed Online,,"Straight,Jasmine Rae",35,Continuing Education
,,,,,,,,,,Class,,,
PHIL,1400,581,BL3,38702,3,Philosophy and Sciences,LEC,-,Continuing Ed Online,,"Kultgen,Benjamin",35,Continuing Education
,,,,,,,,,,Class,,,
PHIL,2220,581,BL3,38703,3,Philosophy & Law,LEC,-,Continuing Ed Online,,"Straight,Jasmine Rae",35,Continuing Education
,,,,,,,,,,Class,,,
PHIL,2290,581,BL3,38708,3,Philosophy and Gender,LEC,-,Continuing Ed Online,,"Kelley Jr,Anthony Bernard",35,Continuing Education
,,,,,,,,,,Class,,,
PHIL,3140,581,BL3,38709,3,Environmental Ethics,LEC,-,Continuing Ed Online,,"Sturgis,Daniel Paul",35,Continuing Education
,,,,,,,,,,Class,,,
PHIL,3160,581,BL3,38710,3,Bioethics,LEC,-,Continuing Ed Online,,"Kelley Jr,Anthony Bernard",35,Continuing Education
,,,,,,,,,,Class,,,
Page 74 of 180,,,,,,,,Spring 2020,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,,
PHIL,3200,581,BL3,38711,3,Soc/Political Philosophy,LEC,-,,Continuing Ed Online,,"Kultgen,Benjamin",35,Continuing Education
,,,,,,,,,,Class,,,,
PHIL,3410,581,BL4,38712,3,Hist Sci: Ancients to Newton,LEC,-,,Continuing Ed Online,,"Brindell,Sheralee Jo",20,Continuing Education
,,,,,,,,,,Class,,,,
Graduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
PHIL,5020,1,B,25223,3,Topics/History of Philosophy,SEM,02:00 PM - 03:15 PM,TTH,HLMS 196,,"Bailey,Dominic T. J.",8,Main Campus
PHIL,5150,1,B,32641,3,Topics in Applied Ethics,LEC,03:30 PM - 04:45 PM,TTH,HLMS 196,,"Boonin,David Isaac",8,Main Campus
PHIL,5450,1,B,32396,3,Hist & Philosophy of Physics,LEC,11:00 AM - 12:15 PM,TTH,DUAN G2B47,,"Ritzwoller,Michael H",5,Main Campus
PHIL,5800,1,B,32690,3,Open Topics/Philosophy,SEM,12:30 PM - 01:45 PM,TTH,HLMS 196,,"Oddie,Graham James",8,Main Campus
PHIL,5800,2,B,25469,3,Open Topics/Philosophy,SEM,05:00 PM - 07:30 PM,TH,HLMS 196,,"Fileva,Iskra Nikova",8,Main Campus
PHIL,6200,1,B,32691,3,Sem in Social/Political Phil,SEM,05:00 PM - 07:30 PM,M,HLMS 177,,"Wingo,Ajume H",8,Main Campus
PHIL,6300,1,B,32692,3,Sem-Philosophy of Mind,SEM,05:00 PM - 07:30 PM,W,HLMS 177,,"Rupert,Robert D",8,Main Campus
PHIL,6310,2,B,25472,3,Methods in Cognitive Sci,LEC,11:00 AM - 12:15 PM,TTH,,,"Martin,James H",15,Main Campus
PHIL,6310,2,B,25472,3,Methods in Cognitive Sci,LEC,11:00 AM - 12:15 PM,TTH,,,"Kim,Albert E.",15,Main Campus
PHIL,6380,1,B,32693,3,Seminar in Metaphysics,SEM,05:00 PM - 07:30 PM,T,HLMS 196,,"Saucedo Ceballos,Raul",8,Main Campus
PHIL,7415,2,B,23113,2,Cog Sci Rsrch Prac 1,PRA,-,TBA,,,"D'Mello,Sidney",15,Main Campus
PHIL,7425,2,B,24667,2,Cog Sci Rsrch Prac 2,PRA,-,TBA,,,"D'Mello,Sidney",15,Main Campus
PHIL,7810,1,B,24578,1,Tpcs-Cognitive Science,SEM,-,TBA,,,"D'Mello,Sidney",15,Main Campus
Physics,,,,,,,,,,,,,,
,,,,,303-492-6952,,,,,,,,,
http://phys.colorado.edu/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
PHYS,1110,100,B,18865,4,General Physics 1,LEC,09:00 AM - 09:50 AM,MWF,DUAN G1B30,,"Hodby,Eleanor",290,Main Campus
PHYS,1110,100,B,18865,4,General Physics 1,LEC,09:00 AM - 09:50 AM,MWF,DUAN G1B30,,"Hough,Loren Evan",290,Main Campus
PHYS,1110,200,B,18866,4,General Physics 1,LEC,11:00 AM - 11:50 AM,MWF,DUAN G1B30,,"Hough,Loren Evan",290,Main Campus
PHYS,1110,200,B,18866,4,General Physics 1,LEC,11:00 AM - 11:50 AM,MWF,DUAN G1B30,,"Hodby,Eleanor",290,Main Campus
PHYS,1110,300,B,22467,4,General Physics 1,LEC,01:00 PM - 01:50 PM,MWF,DUAN G1B30,,"Hough,Loren Evan",260,Main Campus
PHYS,1110,300,B,22467,4,General Physics 1,LEC,01:00 PM - 01:50 PM,MWF,DUAN G1B30,,"Hodby,Eleanor",260,Main Campus
PHYS,1110,401,B,19339,0,General Physics 1,REC,08:00 AM - 08:50 AM,TH,DUAN G2B60,,,28,Main Campus
PHYS,1110,402,B,19340,0,General Physics 1,REC,08:00 AM - 08:50 AM,TH,DUAN G2B63,,,28,Main Campus
PHYS,1110,405,B,19343,0,General Physics 1,REC,09:00 AM - 09:50 AM,TH,DUAN G2B60,,,28,Main Campus
PHYS,1110,406,B,19344,0,General Physics 1,REC,09:00 AM - 09:50 AM,TH,DUAN G2B63,,,28,Main Campus
PHYS,1110,407,B,19345,0,General Physics 1,REC,09:00 AM - 09:50 AM,TH,DUAN G2B64,,,28,Main Campus
PHYS,1110,408,B,19346,0,General Physics 1,REC,09:00 AM - 09:50 AM,TH,DUAN G2B66,,,28,Main Campus
PHYS,1110,409,B,19347,0,General Physics 1,REC,10:00 AM - 10:50 AM,TH,DUAN G2B60,,,28,Main Campus
PHYS,1110,410,B,19348,0,General Physics 1,REC,10:00 AM - 10:50 AM,TH,DUAN G2B63,,,28,Main Campus
PHYS,1110,411,B,19349,0,General Physics 1,REC,10:00 AM - 10:50 AM,TH,DUAN G2B64,,,28,Main Campus
PHYS,1110,412,B,19350,0,General Physics 1,REC,10:00 AM - 10:50 AM,TH,DUAN G2B66,,,28,Main Campus
PHYS,1110,413,B,19351,0,General Physics 1,REC,11:00 AM - 11:50 AM,TH,DUAN G2B60,,,28,Main Campus
PHYS,1110,414,B,19352,0,General Physics 1,REC,11:00 AM - 11:50 AM,TH,DUAN G2B63,,,28,Main Campus
PHYS,1110,415,B,19353,0,General Physics 1,REC,11:00 AM - 11:50 AM,TH,DUAN G2B64,,,28,Main Campus
Page 75 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,
PHYS,1110,416,B,19354,0,General Physics 1,REC,11:00 AM - 11:50 AM,TH,DUAN G2B66,,28,Main Campus
PHYS,1110,417,B,19355,0,General Physics 1,REC,12:00 PM - 12:50 PM,TH,DUAN G2B60,,28,Main Campus
PHYS,1110,418,B,19356,0,General Physics 1,REC,12:00 PM - 12:50 PM,TH,DUAN G2B63,,28,Main Campus
PHYS,1110,419,B,19357,0,General Physics 1,REC,12:00 PM - 12:50 PM,TH,DUAN G2B64,,28,Main Campus
PHYS,1110,420,B,19358,0,General Physics 1,REC,12:00 PM - 12:50 PM,TH,DUAN G2B66,,28,Main Campus
PHYS,1110,421,B,19359,0,General Physics 1,REC,01:00 PM - 01:50 PM,TH,DUAN G2B60,,28,Main Campus
PHYS,1110,422,B,19360,0,General Physics 1,REC,01:00 PM - 01:50 PM,TH,DUAN G2B63,,28,Main Campus
PHYS,1110,423,B,19361,0,General Physics 1,REC,01:00 PM - 01:50 PM,TH,DUAN G2B64,,28,Main Campus
PHYS,1110,424,B,21823,0,General Physics 1,REC,01:00 PM - 01:50 PM,TH,DUAN G2B66,,28,Main Campus
PHYS,1110,425,B,22368,0,General Physics 1,REC,02:00 PM - 02:50 PM,TH,DUAN G2B60,,28,Main Campus
PHYS,1110,426,B,22600,0,General Physics 1,REC,02:00 PM - 02:50 PM,TH,DUAN G2B63,,28,Main Campus
PHYS,1110,427,B,22601,0,General Physics 1,REC,02:00 PM - 02:50 PM,TH,DUAN G2B64,,28,Main Campus
PHYS,1110,428,B,22602,0,General Physics 1,REC,02:00 PM - 02:50 PM,TH,DUAN G2B66,,28,Main Campus
PHYS,1110,429,B,22603,0,General Physics 1,REC,03:00 PM - 03:50 PM,TH,DUAN G2B60,,28,Main Campus
PHYS,1110,430,B,22604,0,General Physics 1,REC,03:00 PM - 03:50 PM,TH,DUAN G2B63,,28,Main Campus
PHYS,1110,433,B,23290,0,General Physics 1,REC,04:00 PM - 04:50 PM,TH,DUAN G2B60,,28,Main Campus
PHYS,1110,435,B,24408,0,General Physics 1,REC,04:00 PM - 04:50 PM,TH,DUAN G2B64,,28,Main Campus
PHYS,1120,100,B,18867,4,General Physics 2,LEC,10:00 AM - 10:50 AM,MWF,DUAN G1B30,"Bolton,Daniel Ryan",290,Main Campus
PHYS,1120,100,B,18867,4,General Physics 2,LEC,10:00 AM - 10:50 AM,MWF,DUAN G1B30,"Dubson,Michael A",290,Main Campus
PHYS,1120,200,B,18909,4,General Physics 2,LEC,12:00 PM - 12:50 PM,MWF,DUAN G1B30,"Bolton,Daniel Ryan",290,Main Campus
PHYS,1120,200,B,18909,4,General Physics 2,LEC,12:00 PM - 12:50 PM,MWF,DUAN G1B30,"Dubson,Michael A",290,Main Campus
PHYS,1120,300,B,23175,4,General Physics 2,LEC,02:00 PM - 02:50 PM,MWF,DUAN G1B30,"Bolton,Daniel Ryan",288,Main Campus
PHYS,1120,300,B,23175,4,General Physics 2,LEC,02:00 PM - 02:50 PM,MWF,DUAN G1B30,"Dubson,Michael A",288,Main Campus
PHYS,1120,401,B,19362,0,General Physics 2,REC,08:00 AM - 08:50 AM,T,DUAN G2B60,,28,Main Campus
PHYS,1120,402,B,19363,0,General Physics 2,REC,08:00 AM - 08:50 AM,T,DUAN G2B63,,28,Main Campus
PHYS,1120,405,B,19366,0,General Physics 2,REC,09:00 AM - 09:50 AM,T,DUAN G2B60,,28,Main Campus
PHYS,1120,406,B,19367,0,General Physics 2,REC,09:00 AM - 09:50 AM,T,DUAN G2B63,,28,Main Campus
PHYS,1120,407,B,19368,0,General Physics 2,REC,09:00 AM - 09:50 AM,T,DUAN G2B64,,28,Main Campus
PHYS,1120,408,B,19369,0,General Physics 2,REC,09:00 AM - 09:50 AM,T,DUAN G2B66,,28,Main Campus
PHYS,1120,409,B,19370,0,General Physics 2,REC,10:00 AM - 10:50 AM,T,DUAN G2B60,,28,Main Campus
